===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher                 
cuobjdump                                                               13.2               NVIDIA Corporation        
CUPTI                                                                   13.2               NVIDIA Corporation        
CURAND Development                                                      13.2               NVIDIA Corporation        
CURAND Runtime                                                          13.2               NVIDIA Corporation        
CUSOLVER Development                                                    13.2               NVIDIA Corporation        
CUSOLVER Runtime                                                        13.2               NVIDIA Corporation        
CUSPARSE Development                                                    13.2               NVIDIA Corporation        
CUSPARSE Runtime                                                        13.2               NVIDIA Corporation        
cuxxfilt                                                                13.2               NVIDIA Corporation        
Disassembler                                                            13.2               NVIDIA Corporation        
Docker Desktop                                                          4.89.0             Docker Inc.               
Ferramentas de Build do Visual Studio 2026                              18.8.2             Microsoft Corporation     
FxSound                                                                 1.2.10.0           FxSound LLC               
Ghostscript GPL 10.03.1 (Msi Setup)                                     10.03.1            Corel Corporation         
Ghostscript GPL 10.03.1 (Msi Setup)                                     10.03.1            Corel Corporation         
Git                                                                     2.55.0.5           The Git Development Com...
GitHub Desktop                                                          3.6.4              GitHub, Inc.              
Google AI for Developers                                                1.0                Google\Chrome             
Google Chrome                                                           152.0.7977.76      Google LLC                
Grok                                                                    1.0                Google\Chrome             
Grok                                                                    1.0                Google\Chrome             
Inno Setup 7.0.2                                                        7.0.2              jrsoftware.org            
Inno Setup versão 6.7.3                                                 6.7.3              jrsoftware.org            
Kits Configuration Installer                                            10.1.26100.8249    Microsoft                 
K-Meleon 75.0 (x86 en-US)                                               75.0               kmeleonbrowser.org        
Lenovo Now                                                              4.8.0.54           Lenovo                    
Lenovo Service Bridge                                                   5.0.2.21           Lenovo                    
Lenovo Utility                                                          3.0.0.22           Lenovo                    
Lenovo Vantage Service                                                  5.1.2608.14        Lenovo Group Ltd.         
libnvptxcompiler Development                                            13.2               NVIDIA Corporation        
LM Studio 0.4.23+1                                                      0.4.23+1           LM Studio                 
Maxon Cinema 4D 2026                                                    2026.1.0           Maxon                     
Meta AI                                                                 1.0                Google\Chrome             
Meu Sistema Comercial 1.0                                               1.0                                          
Microsoft .NET 10.0 Templates 10.0.400 x64                              40.11.17119        Microsoft Corporation     
Microsoft .NET 8.0 Templates 8.0.424 (x64)                              32.15.49180        Microsoft Corporation     
Microsoft .NET AppHost Pack - 10.0.11 (x64)                             80.44.56884        Microsoft Corporation     
Microsoft .NET AppHost Pack - 8.0.30 (x64)                              64.120.56788       Microsoft Corporation     
Microsoft .NET AppHost Pack - 8.0.30 (x64_arm64)                        64.120.56788       Microsoft Corporation     
Microsoft .NET AppHost Pack - 8.0.30 (x64_x86)                          64.120.56788       Microsoft Corporation     
Microsoft .NET Host - 10.0.11 (x64)                                     80.44.56884        Microsoft Corporation     
Microsoft .NET Host - 8.0.30 (x64)                                      64.120.56788       Microsoft Corporation     
Microsoft .NET Host FX Resolver - 10.0.11 (x64)                         80.44.56884        Microsoft Corporation     
Microsoft .NET Host FX Resolver - 8.0.30 (x64)                          64.120.56788       Microsoft Corporation     
Microsoft .NET Runtime - 10.0.11 (x64)                                  80.44.56884        Microsoft Corporation     
Microsoft .NET Runtime - 8.0.23 (x64)                                   64.92.45415        Microsoft Corporation     
Microsoft .NET Runtime - 8.0.30 (x64)                                   64.120.56788       Microsoft Corporation     
Microsoft .NET SDK 10.0.400 (x64)                                       10.4.26.38015      Microsoft Corporation     
Microsoft .NET SDK 8.0.424 (x64)                                        8.4.2426.37308     Microsoft Corporation     
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                    24.0.28113         Microsoft Corporation     
Microsoft .NET Targeting Pack - 10.0.11 (x64)                           80.44.56884        Microsoft Corporation     
Microsoft .NET Targeting Pack - 8.0.30 (x64)                            64.120.56788       Microsoft Corporation     
Microsoft .NET Toolset 10.0.400 (x64)                                   40.11.17119        Microsoft Corporation     
Microsoft .NET Toolset 8.0.424 (x64)                                    32.15.16412        Microsoft Corporation     
Microsoft ASP.NET Core 8.0.30 Shared Framework (x64)                    8.0.30.26373       Microsoft Corporation     
Microsoft ASP.NET Core 8.0.30 Targeting Pack (x64)                      8.0.30.26373       Microsoft Corporation     
