===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
Get-CertificateEnrollmentPolicyServer                Cmdlet PKI                                       1.0.0.0     
Get-CertificateNotificationTask                      Cmdlet PKI                                       1.0.0.0     
Get-ChildItem                                        Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-CimAssociatedInstance                            Cmdlet CimCmdlets                                1.0.0.0     
Get-CimClass                                         Cmdlet CimCmdlets                                1.0.0.0     
Get-CimInstance                                      Cmdlet CimCmdlets                                1.0.0.0     
Get-CimSession                                       Cmdlet CimCmdlets                                1.0.0.0     
Get-CIPolicy                                         Cmdlet ConfigCI                                  1.0         
Get-CIPolicyIdInfo                                   Cmdlet ConfigCI                                  1.0         
Get-CIPolicyInfo                                     Cmdlet ConfigCI                                  1.0         
Get-Clipboard                                        Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ClusteredScheduledTask                         Function ScheduledTasks                            1.0.0.0     
Get-CmsMessage                                       Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
Get-Command                                          Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-ComputerInfo                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ComputerRestorePoint                             Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-Content                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ControlPanelItem                                 Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-Counter                                          Cmdlet Microsoft.PowerShell.Diagnostics          3.0.0.0     
Get-Credential                                       Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
Get-Culture                                          Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-DAClientExperienceConfiguration                Function DirectAccessClientComponents              1.0.0.0     
Get-DAConnectionStatus                             Function NetworkConnectivityStatus                 1.0.0.0     
Get-DAEntryPointTableItem                          Function DirectAccessClientComponents              1.0.0.0     
Get-DAPolicyChange                                   Cmdlet NetSecurity                               2.0.0.0     
Get-Date                                             Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-DedupProperties                                Function Storage                                   2.0.0.0     
Get-DeliveryOptimizationLog                          Cmdlet DeliveryOptimization                      1.0.3.0     
Get-DeliveryOptimizationLogAnalysis                  Cmdlet DeliveryOptimization                      1.0.3.0     
Get-DeliveryOptimizationPerfSnap                   Function DeliveryOptimization                      1.0.3.0     
Get-DeliveryOptimizationPerfSnapThisMonth          Function DeliveryOptimization                      1.0.3.0     
Get-DeliveryOptimizationStatus                     Function DeliveryOptimization                      1.0.3.0     
Get-Disk                                           Function Storage                                   2.0.0.0     
Get-DiskImage                                      Function Storage                                   2.0.0.0     
Get-DiskSNV                                           Alias VMDirectStorage                           1.0.0.0     
Get-DiskSNV                                           Alias Storage                                   2.0.0.0     
Get-DiskStorageNodeView                            Function Storage                                   2.0.0.0     
Get-DnsClient                                      Function DnsClient                                 1.0.0.0     
Get-DnsClientCache                                 Function DnsClient                                 1.0.0.0     
Get-DnsClientDohServerAddress                      Function DnsClient                                 1.0.0.0     
Get-DnsClientGlobalSetting                         Function DnsClient                                 1.0.0.0     
Get-DnsClientNrptGlobal                            Function DnsClient                                 1.0.0.0     
Get-DnsClientNrptPolicy                            Function DnsClient                                 1.0.0.0     
Get-DnsClientNrptRule                              Function DnsClient                                 1.0.0.0     
Get-DnsClientServerAddress                         Function DnsClient                                 1.0.0.0     
Get-DOConfig                                       Function DeliveryOptimization                      1.0.3.0     
Get-DODownloadMode                                 Function DeliveryOptimization                      1.0.3.0     
Get-DOPercentageMaxBackgroundBandwidth             Function DeliveryOptimization                      1.0.3.0     
Get-DOPercentageMaxForegroundBandwidth             Function DeliveryOptimization                      1.0.3.0     
Get-DscConfiguration                               Function PSDesiredStateConfiguration               1.1         
Get-DscConfigurationStatus                         Function PSDesiredStateConfiguration               1.1         
Get-DscLocalConfigurationManager                   Function PSDesiredStateConfiguration               1.1         
Get-DscResource                                    Function PSDesiredStateConfiguration               1.1         
Get-Dtc                                            Function MsDtc                                     1.0.0.0     
Get-DtcAdvancedHostSetting                         Function MsDtc                                     1.0.0.0     
Get-DtcAdvancedSetting                             Function MsDtc                                     1.0.0.0     
Get-DtcClusterDefault                              Function MsDtc                                     1.0.0.0     
Get-DtcClusterTMMapping                            Function MsDtc                                     1.0.0.0     
Get-DtcDefault                                     Function MsDtc                                     1.0.0.0     
Get-DtcLog                                         Function MsDtc                                     1.0.0.0     
Get-DtcNetworkSetting                              Function MsDtc                                     1.0.0.0     
Get-DtcTransaction                                 Function MsDtc                                     1.0.0.0     
Get-DtcTransactionsStatistics                      Function MsDtc                                     1.0.0.0     
Get-DtcTransactionsTraceSession                    Function MsDtc                                     1.0.0.0     
Get-DtcTransactionsTraceSetting                    Function MsDtc                                     1.0.0.0     
Get-EtwTraceProvider                               Function EventTracingManagement                    1.0.0.0     
Get-EtwTraceSession                                Function EventTracingManagement                    1.0.0.0     
Get-Event                                            Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-EventLog                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-EventSubscriber                                  Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-ExecutionPolicy                                  Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
Get-FileHash                                       Function Microsoft.PowerShell.Utility              3.1.0.0     
Get-FileIntegrity                                  Function Storage                                   2.0.0.0     
Get-FileShare                                      Function Storage                                   2.0.0.0     
Get-FileShareAccessControlEntry                    Function Storage                                   2.0.0.0     
Get-FileStorageTier                                Function Storage                                   2.0.0.0     
Get-FormatData                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-Help                                             Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-History                                          Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-HnsEndpoint                                    Function HostNetworkingService                     1.0.0.1     
Get-HnsEndpointAddresses                           Function HostNetworkingService                     1.0.0.1     
Get-HnsEndpointStats                               Function HostNetworkingService                     1.0.0.1     
Get-HnsNamespace                                   Function HostNetworkingService                     1.0.0.1     
Get-HnsNetwork                                     Function HostNetworkingService                     1.0.0.1     
Get-HnsPolicyList                                  Function HostNetworkingService                     1.0.0.1     
Get-Host                                             Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-HotFix                                           Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-InitiatorId                                    Function Storage                                   2.0.0.0     
Get-InitiatorPort                                  Function Storage                                   2.0.0.0     
Get-InstalledLanguage                                Cmdlet LanguagePackManagement                    1.0         
Get-InstalledModule                                Function PowerShellGet                             1.0.0.1     
Get-InstalledScript                                Function PowerShellGet                             1.0.0.1     
Get-IscsiConnection                                Function iSCSI                                     1.0.0.0     
Get-IscsiSession                                   Function iSCSI                                     1.0.0.0     
Get-IscsiTarget                                    Function iSCSI                                     1.0.0.0     
Get-IscsiTargetPortal                              Function iSCSI                                     1.0.0.0     
Get-IseSnippet                                     Function ISE                                       1.0.0.0     
Get-Item                                             Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ItemProperty                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ItemPropertyValue                                Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-Job                                              Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-JobTrigger                                       Cmdlet PSScheduledJob                            1.1.0.0     
Get-KdsConfiguration                                 Cmdlet Kds                                       1.0.0.0     
Get-KdsRootKey                                       Cmdlet Kds                                       1.0.0.0     
Get-KmsLicenseInfo                                 Function OSLicense                                 1.0.0       
Get-Language                                          Alias LanguagePackManagement                    1.0         
Get-LapsAADPassword                                Function LAPS                                      1.0.0.0     
Get-LapsADPassword                                   Cmdlet LAPS                                      1.0.0.0     
Get-LapsDiagnostics                                Function LAPS                                      1.0.0.0     
Get-LocalGroup                                       Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Get-LocalGroupMember                                 Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Get-LocalUser                                        Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Get-Location                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-LogProperties                                  Function PSDiagnostics                             1.0.0.0     
Get-MaskingSet                                     Function Storage                                   2.0.0.0     
Get-Member                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-MMAgent                                        Function MMAgent                                   1.0         
Get-MockDynamicParameters                          Function Pester                                    3.4.0       
Get-Module                                           Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-MpBehavioralNetworkBlockingRules               Function Defender                                  1.0         
Get-MpBehavioralNetworkBlockingRules               Function ConfigDefender                            1.0         
Get-MpComputerStatus                               Function Defender                                  1.0         
Get-MpComputerStatus                               Function ConfigDefender                            1.0         
Get-MpPerformanceReport                            Function DefenderPerformance                       1.0         
Get-MpPerformanceReport                            Function ConfigDefenderPerformance                 1.0         
Get-MpPreference                                   Function Defender                                  1.0         
Get-MpPreference                                   Function ConfigDefender                            1.0         
Get-MpThreat                                       Function Defender                                  1.0         
Get-MpThreat                                       Function ConfigDefender                            1.0         
Get-MpThreatCatalog                                Function Defender                                  1.0         
Get-MpThreatCatalog                                Function ConfigDefender                            1.0         
Get-MpThreatDetection                              Function Defender                                  1.0         
Get-MpThreatDetection                              Function ConfigDefender                            1.0         
Get-MsixDefaultVolume                                 Alias Appx                                      2.0.1.0     
Get-MsixLastError                                     Alias Appx                                      2.0.1.0     
Get-MsixLog                                           Alias Appx                                      2.0.1.0     
Get-MsixPackage                                       Alias Appx                                      2.0.1.0     
Get-MsixPackageAutoUpdateSettings                     Alias Appx                                      2.0.1.0     
Get-MsixPackageDefaultVolume                          Alias Appx                                      2.0.1.0     
Get-MsixPackageLastError                              Alias Appx                                      2.0.1.0     
Get-MsixPackageLog                                    Alias Appx                                      2.0.1.0     
Get-MsixPackageManifest                               Alias Appx                                      2.0.1.0     
Get-MsixPackageVolume                                 Alias Appx                                      2.0.1.0     
Get-MsixVolume                                        Alias Appx                                      2.0.1.0     
Get-NCSIPolicyConfiguration                        Function NetworkConnectivityStatus                 1.0.0.0     
Get-Net6to4Configuration                           Function NetworkTransition                         1.0.0.0     
Get-NetAdapter                                     Function NetAdapter                                2.0.0.0     
Get-NetAdapterAdvancedProperty                     Function NetAdapter                                2.0.0.0     
Get-NetAdapterBinding                              Function NetAdapter                                2.0.0.0     
Get-NetAdapterChecksumOffload                      Function NetAdapter                                2.0.0.0     
Get-NetAdapterDataPathConfiguration                Function NetAdapter                                2.0.0.0     
Get-NetAdapterEncapsulatedPacketTaskOffload        Function NetAdapter                                2.0.0.0     
Get-NetAdapterHardwareInfo                         Function NetAdapter                                2.0.0.0     
Get-NetAdapterIPsecOffload                         Function NetAdapter                                2.0.0.0     
Get-NetAdapterLso                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterPacketDirect                         Function NetAdapter                                2.0.0.0     
Get-NetAdapterPowerManagement                      Function NetAdapter                                2.0.0.0     
Get-NetAdapterQos                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterRdma                                 Function NetAdapter                                2.0.0.0     
Get-NetAdapterRsc                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterRss                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterSriov                                Function NetAdapter                                2.0.0.0     
Get-NetAdapterSriovVf                              Function NetAdapter                                2.0.0.0     
Get-NetAdapterStatistics                           Function NetAdapter                                2.0.0.0     
Get-NetAdapterUro                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterUso                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterVmq                                  Function NetAdapter                                2.0.0.0     
Get-NetAdapterVMQQueue                             Function NetAdapter                                2.0.0.0     
Get-NetAdapterVPort                                Function NetAdapter                                2.0.0.0     
Get-NetCompartment                                 Function NetTCPIP                                  1.0.0.0     
Get-NetConnectionProfile                           Function NetConnection                             2.0.0.0     
Get-NetDnsTransitionConfiguration                  Function NetworkTransition                         1.0.0.0     
Get-NetDnsTransitionMonitoring                     Function NetworkTransition                         1.0.0.0     
Get-NetEventNetworkAdapter                         Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventPacketCaptureProvider                  Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventProvider                               Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventSession                                Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventVFPProvider                            Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventVmNetworkAdapter                       Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventVmSwitch                               Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventVmSwitchProvider                       Function NetEventPacketCapture                     1.0.0.0     
Get-NetEventWFPCaptureProvider                     Function NetEventPacketCapture                     1.0.0.0     
Get-NetFirewallAddressFilter                       Function NetSecurity                               2.0.0.0     
Get-NetFirewallApplicationFilter                   Function NetSecurity                               2.0.0.0     
Get-NetFirewallDynamicKeywordAddress               Function NetSecurity                               2.0.0.0     
Get-NetFirewallHyperVPort                          Function NetSecurity                               2.0.0.0     
Get-NetFirewallHyperVProfile                       Function NetSecurity                               2.0.0.0     
Get-NetFirewallHyperVRule                          Function NetSecurity                               2.0.0.0     
Get-NetFirewallHyperVVMCreator                     Function NetSecurity                               2.0.0.0     
Get-NetFirewallHyperVVMSetting                     Function NetSecurity                               2.0.0.0     
Get-NetFirewallInterfaceFilter                     Function NetSecurity                               2.0.0.0     
Get-NetFirewallInterfaceTypeFilter                 Function NetSecurity                               2.0.0.0     
Get-NetFirewallPortFilter                          Function NetSecurity                               2.0.0.0     
Get-NetFirewallProfile                             Function NetSecurity                               2.0.0.0     
Get-NetFirewallRule                                Function NetSecurity                               2.0.0.0     
Get-NetFirewallSecurityFilter                      Function NetSecurity                               2.0.0.0     
Get-NetFirewallServiceFilter                       Function NetSecurity                               2.0.0.0     
Get-NetFirewallSetting                             Function NetSecurity                               2.0.0.0     
Get-NetIPAddress                                   Function NetTCPIP                                  1.0.0.0     
Get-NetIPConfiguration                             Function NetTCPIP                                  1.0.0.0     
Get-NetIPHttpsConfiguration                        Function NetworkTransition                         1.0.0.0     
Get-NetIPHttpsState                                Function NetworkTransition                         1.0.0.0     
Get-NetIPInterface                                 Function NetTCPIP                                  1.0.0.0     
Get-NetIPsecDospSetting                            Function NetSecurity                               2.0.0.0     
Get-NetIPsecMainModeCryptoSet                      Function NetSecurity                               2.0.0.0     
Get-NetIPsecMainModeRule                           Function NetSecurity                               2.0.0.0     
Get-NetIPsecMainModeSA                             Function NetSecurity                               2.0.0.0     
Get-NetIPsecPhase1AuthSet                          Function NetSecurity                               2.0.0.0     
Get-NetIPsecPhase2AuthSet                          Function NetSecurity                               2.0.0.0     
Get-NetIPsecQuickModeCryptoSet                     Function NetSecurity                               2.0.0.0     
Get-NetIPsecQuickModeSA                            Function NetSecurity                               2.0.0.0     
Get-NetIPsecRule                                   Function NetSecurity                               2.0.0.0     
Get-NetIPv4Protocol                                Function NetTCPIP                                  1.0.0.0     
Get-NetIPv6Protocol                                Function NetTCPIP                                  1.0.0.0     
Get-NetIsatapConfiguration                         Function NetworkTransition                         1.0.0.0     
Get-NetLbfoTeam                                    Function NetLbfo                                   2.0.0.0     
Get-NetLbfoTeamMember                              Function NetLbfo                                   2.0.0.0     
Get-NetLbfoTeamNic                                 Function NetLbfo                                   2.0.0.0     
Get-NetNat                                         Function NetNat                                    1.0.0.0     
Get-NetNatExternalAddress                          Function NetNat                                    1.0.0.0     
Get-NetNatGlobal                                   Function NetNat                                    1.0.0.0     
Get-NetNatSession                                  Function NetNat                                    1.0.0.0     
Get-NetNatStaticMapping                            Function NetNat                                    1.0.0.0     
Get-NetNatTransitionConfiguration                  Function NetworkTransition                         1.0.0.0     
Get-NetNatTransitionMonitoring                     Function NetworkTransition                         1.0.0.0     
Get-NetNeighbor                                    Function NetTCPIP                                  1.0.0.0     
Get-NetOffloadGlobalSetting                        Function NetTCPIP                                  1.0.0.0     
Get-NetPrefixPolicy                                Function NetTCPIP                                  1.0.0.0     
Get-NetQosPolicy                                   Function NetQos                                    2.0.0.0     
Get-NetRoute                                       Function NetTCPIP                                  1.0.0.0     
Get-NetSwitchTeam                                  Function NetSwitchTeam                             1.0.0.0     
Get-NetSwitchTeamMember                            Function NetSwitchTeam                             1.0.0.0     
Get-NetTCPConnection                               Function NetTCPIP                                  1.0.0.0     
Get-NetTCPSetting                                  Function NetTCPIP                                  1.0.0.0     
Get-NetTeredoConfiguration                         Function NetworkTransition                         1.0.0.0     
Get-NetTeredoState                                 Function NetworkTransition                         1.0.0.0     
Get-NetTransportFilter                             Function NetTCPIP                                  1.0.0.0     
Get-NetUDPEndpoint                                 Function NetTCPIP                                  1.0.0.0     
Get-NetUDPSetting                                  Function NetTCPIP                                  1.0.0.0     
Get-NetView                                        Function Get-NetView                               2023.2.7.226
Get-NetworkSwitchEthernetPort                      Function NetworkSwitchManager                      1.0.0.0     
Get-NetworkSwitchFeature                           Function NetworkSwitchManager                      1.0.0.0     
Get-NetworkSwitchGlobalData                        Function NetworkSwitchManager                      1.0.0.0     
Get-NetworkSwitchVlan                              Function NetworkSwitchManager                      1.0.0.0     
Get-NonRemovableAppsPolicy                           Cmdlet Dism                                      3.0         
Get-OdbcDriver                                     Function Wdac                                      1.0.0.0     
Get-OdbcDsn                                        Function Wdac                                      1.0.0.0     
Get-OdbcPerfCounter                                Function Wdac                                      1.0.0.0     
Get-OffloadDataTransferSetting                     Function Storage                                   2.0.0.0     
Get-OperationValidation                            Function Microsoft.PowerShell.Operation.Validation 1.0.1       
Get-OSConfiguration                                  Cmdlet OsConfiguration                           1.2.0.0     
Get-OsConfigurationDocument                          Cmdlet OsConfiguration                           1.2.0.0     
Get-OsConfigurationDocumentContent                   Cmdlet OsConfiguration                           1.2.0.0     
Get-OsConfigurationDocumentResult                    Cmdlet OsConfiguration                           1.2.0.0     
Get-OsConfigurationProperty                          Cmdlet OsConfiguration                           1.2.0.0     
Get-OSConfigurationScenarioDefinition                Cmdlet OsConfiguration                           1.2.0.0     
Get-OSConfigurationScenarioDefinitionInfo            Cmdlet OsConfiguration                           1.2.0.0     
Get-OSLicenseInfo                                  Function OSLicense                                 1.0.0       
Get-Package                                          Cmdlet PackageManagement                         1.0.0.1     
Get-PackageProvider                                  Cmdlet PackageManagement                         1.0.0.1     
Get-PackageSource                                    Cmdlet PackageManagement                         1.0.0.1     
Get-Partition                                      Function Storage                                   2.0.0.0     
Get-PartitionSupportedSize                         Function Storage                                   2.0.0.0     
Get-PcsvDevice                                     Function PcsvDevice                                1.0.0.0     
Get-PcsvDeviceLog                                  Function PcsvDevice                                1.0.0.0     
Get-PfxCertificate                                   Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
Get-PfxData                                          Cmdlet PKI                                       1.0.0.0     
Get-PhysicalDisk                                   Function Storage                                   2.0.0.0     
Get-PhysicalDiskSNV                                   Alias Storage                                   2.0.0.0     
Get-PhysicalDiskSNV                                   Alias VMDirectStorage                           1.0.0.0     
Get-PhysicalDiskStorageNodeView                    Function Storage                                   2.0.0.0     
Get-PhysicalExtent                                 Function Storage                                   2.0.0.0     
Get-PhysicalExtentAssociation                      Function Storage                                   2.0.0.0     
Get-PmemDedicatedMemory                              Cmdlet PersistentMemory                          1.0.0.0     
Get-PmemDisk                                         Cmdlet PersistentMemory                          1.0.0.0     
Get-PmemPhysicalDevice                               Cmdlet PersistentMemory                          1.0.0.0     
Get-PmemUnusedRegion                                 Cmdlet PersistentMemory                          1.0.0.0     
Get-PnpDevice                                      Function PnpDevice                                 1.0.0.0     
Get-PnpDeviceProperty                              Function PnpDevice                                 1.0.0.0     
Get-PreferredLanguage                                 Alias LanguagePackManagement                    1.0         
Get-PrintConfiguration                             Function PrintManagement                           1.1         
Get-Printer                                        Function PrintManagement                           1.1         
Get-PrinterDriver                                  Function PrintManagement                           1.1         
Get-PrinterPort                                    Function PrintManagement                           1.1         
Get-PrinterProperty                                Function PrintManagement                           1.1         
Get-PrintJob                                       Function PrintManagement                           1.1         
Get-Process                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-ProcessMitigation                                Cmdlet ProcessMitigations                        1.0.12      
Get-ProvisionedAppPackage                             Alias Dism                                      3.0         
Get-ProvisionedAppSharedPackageContainer              Alias Dism                                      3.0         
Get-ProvisionedAppxPackage                            Alias Dism                                      3.0         
Get-ProvisioningPackage                              Cmdlet Provisioning                              3.0         
Get-PSBreakpoint                                     Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-PSCallStack                                      Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-PSDrive                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-PSHostProcessInfo                                Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-PSProvider                                       Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-PSReadLineKeyHandler                             Cmdlet PSReadLine                                2.0.0       
Get-PSReadLineOption                                 Cmdlet PSReadLine                                2.0.0       
Get-PSRepository                                   Function PowerShellGet                             1.0.0.1     
Get-PSSession                                        Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-PSSessionCapability                              Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-PSSessionConfiguration                           Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-PSSnapin                                         Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Get-Random                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-RecoveryManagementPluginAltitude                 Cmdlet Dism                                      3.0         
Get-RecoveryManagementPluginInfo                     Cmdlet Dism                                      3.0         
Get-RecoveryManagementPlugins                        Cmdlet Dism                                      3.0         
Get-RecoveryRemoteManagementStatus                   Cmdlet Dism                                      3.0         
Get-ReFSDedupSchedule                                Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Get-ReFSDedupScrubSchedule                           Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Get-ReFSDedupStatus                                  Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Get-ResiliencySetting                              Function Storage                                   2.0.0.0     
Get-Runspace                                         Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-RunspaceDebug                                    Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Get-ScheduledJob                                     Cmdlet PSScheduledJob                            1.1.0.0     
Get-ScheduledJobOption                               Cmdlet PSScheduledJob                            1.1.0.0     
Get-ScheduledTask                                  Function ScheduledTasks                            1.0.0.0     
Get-ScheduledTaskInfo                              Function ScheduledTasks                            1.0.0.0     
Get-SecureBootPolicy                                 Cmdlet SecureBoot                                2.0.0.0     
Get-SecureBootSVN                                    Cmdlet SecureBoot                                2.0.0.0     
Get-SecureBootUEFI                                   Cmdlet SecureBoot                                2.0.0.0     
Get-Service                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Get-SmbBandWidthLimit                              Function SmbShare                                  2.0.0.0     
Get-SmbClientAccessToServer                        Function SmbShare                                  2.0.0.0     
Get-SmbClientCertificateMapping                    Function SmbShare                                  2.0.0.0     
Get-SmbClientConfiguration                         Function SmbShare                                  2.0.0.0     
Get-SmbClientNetworkInterface                      Function SmbShare                                  2.0.0.0     
Get-SmbConnection                                  Function SmbShare                                  2.0.0.0     
Get-SmbDelegation                                  Function SmbShare                                  2.0.0.0     
Get-SmbGlobalMapping                               Function SmbShare                                  2.0.0.0     
Get-SmbMapping                                     Function SmbShare                                  2.0.0.0     
Get-SmbMultichannelConnection                      Function SmbShare                                  2.0.0.0     
Get-SmbMultichannelConstraint                      Function SmbShare                                  2.0.0.0     
Get-SmbOpenFile                                    Function SmbShare                                  2.0.0.0     
Get-SmbServerAlternativePort                       Function SmbShare                                  2.0.0.0     
Get-SmbServerCertificateMapping                    Function SmbShare                                  2.0.0.0     
Get-SmbServerCertProps                             Function SmbShare                                  2.0.0.0     
Get-SmbServerConfiguration                         Function SmbShare                                  2.0.0.0     
Get-SmbServerNetworkInterface                      Function SmbShare                                  2.0.0.0     
Get-SmbSession                                     Function SmbShare                                  2.0.0.0     
Get-SmbShare                                       Function SmbShare                                  2.0.0.0     
Get-SmbShareAccess                                 Function SmbShare                                  2.0.0.0     
Get-SmbWitnessClient                               Function SmbWitness                                2.0.0.0     
Get-StartApps                                      Function StartLayout                               1.0.0.1     
Get-StorageAdvancedProperty                        Function Storage                                   2.0.0.0     
Get-StorageBusBinding                              Function StorageBusCache                           1.0.0.0     
Get-StorageBusCache                                Function StorageBusCache                           1.0.0.0     
Get-StorageBusClientDevice                         Function StorageBusCache                           1.0.0.0     
Get-StorageBusDisk                                 Function StorageBusCache                           1.0.0.0     
Get-StorageBusTargetCacheStore                     Function StorageBusCache                           1.0.0.0     
Get-StorageBusTargetCacheStoresInstance            Function StorageBusCache                           1.0.0.0     
Get-StorageBusTargetDevice                         Function StorageBusCache                           1.0.0.0     
Get-StorageBusTargetDeviceInstance                 Function StorageBusCache                           1.0.0.0     
Get-StorageChassis                                 Function Storage                                   2.0.0.0     
Get-StorageDataCollection                          Function Storage                                   2.0.0.0     
Get-StorageDiagnosticInfo                          Function Storage                                   2.0.0.0     
Get-StorageEnclosure                               Function Storage                                   2.0.0.0     
Get-StorageEnclosureSNV                               Alias VMDirectStorage                           1.0.0.0     
Get-StorageEnclosureSNV                               Alias Storage                                   2.0.0.0     
Get-StorageEnclosureStorageNodeView                Function Storage                                   2.0.0.0     
Get-StorageEnclosureVendorData                     Function Storage                                   2.0.0.0     
Get-StorageExtendedStatus                          Function Storage                                   2.0.0.0     
Get-StorageFaultDomain                             Function Storage                                   2.0.0.0     
Get-StorageFileServer                              Function Storage                                   2.0.0.0     
Get-StorageFirmwareInformation                     Function Storage                                   2.0.0.0     
Get-StorageHealthAction                            Function Storage                                   2.0.0.0     
Get-StorageHealthReport                            Function Storage                                   2.0.0.0     
Get-StorageHealthSetting                           Function Storage                                   2.0.0.0     
Get-StorageHistory                                 Function Storage                                   2.0.0.0     
Get-StorageJob                                     Function Storage                                   2.0.0.0     
Get-StorageNode                                    Function Storage                                   2.0.0.0     
Get-StoragePool                                    Function Storage                                   2.0.0.0     
Get-StorageProvider                                Function Storage                                   2.0.0.0     
Get-StorageRack                                    Function Storage                                   2.0.0.0     
Get-StorageReliabilityCounter                      Function Storage                                   2.0.0.0     
Get-StorageScaleUnit                               Function Storage                                   2.0.0.0     
Get-StorageSetting                                 Function Storage                                   2.0.0.0     
Get-StorageSite                                    Function Storage                                   2.0.0.0     
Get-StorageSubSystem                               Function Storage                                   2.0.0.0     
Get-StorageTier                                    Function Storage                                   2.0.0.0     
Get-StorageTierSupportedSize                       Function Storage                                   2.0.0.0     
Get-SubscriptionLicenseInfo                        Function OSLicense                                 1.0.0       
Get-SupportedClusterSizes                          Function Storage                                   2.0.0.0     
Get-SupportedFileSystems                           Function Storage                                   2.0.0.0     
Get-SystemDriver                                     Cmdlet ConfigCI                                  1.0         
Get-SystemLanguage                                    Alias LanguagePackManagement                    1.0         
Get-SystemPreferredUILanguage                        Cmdlet LanguagePackManagement                    1.0         
Get-TargetPort                                     Function Storage                                   2.0.0.0     
Get-TargetPortal                                   Function Storage                                   2.0.0.0     
Get-TestDriveItem                                  Function Pester                                    3.4.0       
Get-TimeZone                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
