===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
Clear-BitLockerAutoUnlock                          Function BitLocker                                 1.0.0.0     
Clear-Content                                        Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Clear-Disk                                         Function Storage                                   2.0.0.0     
Clear-DnsClientCache                               Function DnsClient                                 1.0.0.0     
Clear-EventLog                                       Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Clear-FileStorageTier                              Function Storage                                   2.0.0.0     
Clear-History                                        Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Clear-Host                                         Function                                                       
Clear-Item                                           Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Clear-ItemProperty                                   Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Clear-KdsCache                                       Cmdlet Kds                                       1.0.0.0     
Clear-PcsvDeviceLog                                Function PcsvDevice                                1.0.0.0     
Clear-RecycleBin                                     Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Clear-ReFSDedupSchedule                              Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Clear-ReFSDedupScrubSchedule                         Cmdlet Microsoft.ReFsDedup.Commands              2.0.0.0     
Clear-StorageBusDisk                               Function StorageBusCache                           1.0.0.0     
Clear-StorageDiagnosticInfo                        Function Storage                                   2.0.0.0     
Clear-Tpm                                            Cmdlet TrustedPlatformModule                     2.0.0.0     
Clear-UevAppxPackage                                 Cmdlet UEV                                       2.1.639.0   
Clear-UevConfiguration                               Cmdlet UEV                                       2.1.639.0   
Clear-Variable                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Clear-WindowsCorruptMountPoint                       Cmdlet Dism                                      3.0         
Clear-WUJob                                           Alias PSWindowsUpdate                           2.2.1.5     
Close-SmbOpenFile                                  Function SmbShare                                  2.0.0.0     
Close-SmbSession                                   Function SmbShare                                  2.0.0.0     
Collect                                            Function                                                       
Compare-Object                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Complete-BitsTransfer                                Cmdlet BitsTransfer                              2.0.0.0     
Complete-DtcDiagnosticTransaction                    Cmdlet MsDtc                                     1.0.0.0     
Complete-Transaction                                 Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Compress-Archive                                   Function Microsoft.PowerShell.Archive              1.0.1.0     
Configuration                                      Function PSDesiredStateConfiguration               1.1         
Confirm-SecureBootUEFI                               Cmdlet SecureBoot                                2.0.0.0     
Connect-IscsiTarget                                Function iSCSI                                     1.0.0.0     
Connect-PSSession                                    Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Connect-VirtualDisk                                Function Storage                                   2.0.0.0     
Connect-WSMan                                        Cmdlet Microsoft.WSMan.Management                3.0.0.0     
Context                                            Function Pester                                    3.4.0       
ConvertFrom-CIPolicy                                 Cmdlet ConfigCI                                  1.0         
ConvertFrom-Csv                                      Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertFrom-Json                                     Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertFrom-SddlString                             Function Microsoft.PowerShell.Utility              3.1.0.0     
ConvertFrom-SecureString                             Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
ConvertFrom-String                                   Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertFrom-StringData                               Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Convert-Path                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Convert-PhysicalDisk                               Function Storage                                   2.0.0.0     
Convert-String                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertTo-Csv                                        Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertTo-Html                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertTo-Json                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
ConvertTo-ProcessMitigationPolicy                    Cmdlet ProcessMitigations                        1.0.12      
ConvertTo-SecureString                               Cmdlet Microsoft.PowerShell.Security             3.0.0.0     
ConvertTo-TpmOwnerAuth                               Cmdlet TrustedPlatformModule                     2.0.0.0     
ConvertTo-Xml                                        Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Copy-BcdEntry                                        Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
Copy-Item                                            Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Copy-ItemProperty                                    Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Copy-NetFirewallRule                               Function NetSecurity                               2.0.0.0     
Copy-NetIPsecMainModeCryptoSet                     Function NetSecurity                               2.0.0.0     
Copy-NetIPsecMainModeRule                          Function NetSecurity                               2.0.0.0     
Copy-NetIPsecPhase1AuthSet                         Function NetSecurity                               2.0.0.0     
Copy-NetIPsecPhase2AuthSet                         Function NetSecurity                               2.0.0.0     
Copy-NetIPsecQuickModeCryptoSet                    Function NetSecurity                               2.0.0.0     
Copy-NetIPsecRule                                  Function NetSecurity                               2.0.0.0     
Copy-UserInternationalSettingsToSystem               Cmdlet International                             2.1.0.0     
D:                                                 Function                                                       
Debug-FileShare                                    Function Storage                                   2.0.0.0     
Debug-Job                                            Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Debug-MMAppPrelaunch                               Function MMAgent                                   1.0         
Debug-Process                                        Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Debug-Runspace                                       Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Debug-StorageSubSystem                             Function Storage                                   2.0.0.0     
Debug-Volume                                       Function Storage                                   2.0.0.0     
Delete-DeliveryOptimizationCache                   Function DeliveryOptimization                      1.0.3.0     
Describe                                           Function Pester                                    3.4.0       
Disable-AppBackgroundTaskDiagnosticLog               Cmdlet AppBackgroundTask                         1.0.0.0     
Disable-Appv                                         Cmdlet AppvClient                                1.0.0.0     
Disable-AppvClientConnectionGroup                    Cmdlet AppvClient                                1.0.0.0     
Disable-BC                                         Function BranchCache                               1.0.0.0     
Disable-BcdElementBootDebug                          Cmdlet Microsoft.Windows.Bcd.Cmdlets             1.0.0       
